"OU","ObjectClass","IdentityReference","PrincipalName","ActiveDirectoryRights","InheritanceType","ObjectType","InheritedObjectType","ObjectFlags","AccessControlType","IsInherited","InheritanceFlags","PropagationFlags","SDDate","InvocationID","OrgUSN","LegendText"
"CN=Guests,CN=Builtin,<DOMAIN-DN>","","S-1-5-11","NT AUTHORITY\Authenticated Users","GenericRead","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","False","None","None","","","",""
"CN=Guests,CN=Builtin,<DOMAIN-DN>","","S-1-5-18","NT AUTHORITY\SYSTEM","GenericAll","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","False","None","None","","","",""
"CN=Guests,CN=Builtin,<DOMAIN-DN>","","S-1-5-32-548","BUILTIN\Account Operators","GenericAll","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","False","None","None","","","",""
"CN=Guests,CN=Builtin,<DOMAIN-DN>","","<DOMAINSID>-512","<DOMAIN-NETBIOS>\Domain Admins","GenericAll","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","False","None","None","","","",""
"CN=Guests,CN=Builtin,<DOMAIN-DN>","","S-1-5-11","NT AUTHORITY\Authenticated Users","ExtendedRight","None","ab721a55-1e2f-11d0-9819-00aa0040529b","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","False","None","None","","","",""
"CN=Pre-Windows 2000 Compatible Access,CN=Builtin,<DOMAIN-DN>","","S-1-5-32-544","BUILTIN\Administrators","Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=Pre-Windows 2000 Compatible Access,CN=Builtin,<DOMAIN-DN>","","S-1-5-10","NT AUTHORITY\SELF","GenericRead","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","False","None","None","","","",""
"CN=Pre-Windows 2000 Compatible Access,CN=Builtin,<DOMAIN-DN>","","S-1-5-11","NT AUTHORITY\Authenticated Users","GenericRead","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","False","None","None","","","",""
"CN=Pre-Windows 2000 Compatible Access,CN=Builtin,<DOMAIN-DN>","","S-1-5-18","NT AUTHORITY\SYSTEM","GenericAll","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","False","None","None","","","",""
"CN=Pre-Windows 2000 Compatible Access,CN=Builtin,<DOMAIN-DN>","","S-1-5-32-548","BUILTIN\Account Operators","GenericAll","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","False","None","None","","","",""
"CN=Pre-Windows 2000 Compatible Access,CN=Builtin,<DOMAIN-DN>","","<DOMAINSID>-512","<DOMAIN-NETBIOS>\Domain Admins","GenericAll","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","False","None","None","","","",""
"CN=Pre-Windows 2000 Compatible Access,CN=Builtin,<DOMAIN-DN>","","S-1-5-11","NT AUTHORITY\Authenticated Users","ExtendedRight","None","ab721a55-1e2f-11d0-9819-00aa0040529b","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","False","None","None","","","",""
"CN=Print Operators,CN=Builtin,<DOMAIN-DN>","","<DOMAINSID>-512","<DOMAIN-NETBIOS>\Domain Admins","Read permissions, Modify permissions","None","None","None","None","Owner","False","None","None","","","",""
"CN=Print Operators,CN=Builtin,<DOMAIN-DN>","","S-1-5-11","NT AUTHORITY\Authenticated Users","GenericRead","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","False","None","None","","","",""
"CN=Print Operators,CN=Builtin,<DOMAIN-DN>","","S-1-5-18","NT AUTHORITY\SYSTEM","GenericAll","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","False","None","None","","","",""
"CN=Print Operators,CN=Builtin,<DOMAIN-DN>","","S-1-5-32-544","BUILTIN\Administrators","CreateChild, DeleteChild, Self, WriteProperty, ExtendedRight, Delete, GenericRead, WriteDacl, WriteOwner","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","False","None","None","","","",""
"CN=Print Operators,CN=Builtin,<DOMAIN-DN>","","<DOMAINSID>-512","<DOMAIN-NETBIOS>\Domain Admins","CreateChild, DeleteChild, Self, WriteProperty, ExtendedRight, GenericRead, WriteDacl, WriteOwner","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","False","None","None","","","",""
"CN=Print Operators,CN=Builtin,<DOMAIN-DN>","","<ROOTDOMAINSID>-519","<ROOT-NETBIOS>\Enterprise Admins","CreateChild, DeleteChild, Self, WriteProperty, ExtendedRight, GenericRead, WriteDacl, WriteOwner","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","False","None","None","","","",""
"CN=Print Operators,CN=Builtin,<DOMAIN-DN>","","S-1-1-0","Everyone","ExtendedRight","None","ab721a53-1e2f-11d0-9819-00aa0040529b","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","False","None","None","","","",""
"CN=Print Operators,CN=Builtin,<DOMAIN-DN>",,"S-1-5-32-554",,"ReadProperty","None","59ba2f42-79a2-11d0-9020-00c04fc2d3cf","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","False","None","None","","","",""
